ts,co2,humidity,light_level,pir,temperature,co2_level,line_1_period_in,line_1_period_out,line_1_total_in,line_1_total_out,open_windows_all
2025-09-25 23:30:00,427.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-25 23:40:00,426.0,43.0,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 23:50:00,426.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 00:00:00,426.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 00:10:00,427.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 00:20:00,426.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 00:30:00,426.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 00:40:00,425.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 00:50:00,427.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 01:00:00,427.0,43.5,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 01:10:00,425.0,43.5,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 01:20:00,424.0,43.5,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 01:30:00,421.0,43.5,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 01:40:00,421.0,43.5,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 01:50:00,420.0,43.5,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 02:00:00,419.0,44.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 02:10:00,419.0,44.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 02:20:00,417.0,44.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 02:30:00,418.0,44.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 02:40:00,417.0,44.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 02:50:00,416.0,44.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 03:00:00,416.0,44.5,0.0,0,27.0,Low,0,0,2,2,0
2025-09-26 03:10:00,416.0,44.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 03:20:00,417.0,44.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 03:30:00,417.0,44.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 03:40:00,417.0,44.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 03:50:00,418.0,44.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 04:00:00,417.0,45.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 04:10:00,418.0,45.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 04:20:00,417.0,45.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 04:30:00,418.0,45.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 04:40:00,418.0,45.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-26 04:50:00,419.0,45.0,2.0,0,27.0,Low,0,0,0,0,0
2025-09-26 05:00:00,419.0,45.0,0.0,0,27.0,Low,1,1,1,1,0
2025-09-26 05:10:00,420.0,45.0,0.0,0,27.0,Low,0,0,1,1,0
2025-09-26 05:20:00,420.0,45.0,0.0,0,27.0,Low,0,0,1,1,0
2025-09-26 05:30:00,421.0,45.0,0.0,0,27.0,Low,0,0,1,1,0
2025-09-26 05:40:00,422.0,45.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 05:50:00,421.0,45.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 06:00:00,422.0,44.5,0.0,0,27.0,Low,0,0,1,1,0
2025-09-26 06:10:00,422.0,44.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 06:20:00,422.0,44.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 06:30:00,422.0,44.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 06:40:00,422.0,44.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 06:50:00,422.0,44.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 07:00:00,422.0,44.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 07:10:00,423.0,44.0,0.0,0,27.0,Low,0,0,1,1,0
2025-09-26 07:20:00,423.0,44.0,0.0,0,27.0,Low,0,0,1,1,0
2025-09-26 07:30:00,424.0,44.0,0.0,0,27.0,Low,0,0,1,1,0
2025-09-26 07:40:00,425.0,44.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 07:50:00,427.0,44.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-26 08:00:00,429.0,43.5,0.0,0,27.0,Low,0,0,1,1,0
2025-09-26 08:10:00,432.0,43.5,1.0,0,27.0,Low,0,0,1,1,0
2025-09-26 08:20:00,437.0,43.5,1.0,0,27.1,Low,0,0,1,1,0
2025-09-26 08:30:00,438.0,43.5,1.0,0,27.1,Low,0,0,1,1,0
2025-09-26 08:40:00,445.0,43.0,1.0,0,27.1,Low,0,0,1,1,0
2025-09-26 08:50:00,452.0,43.0,1.0,0,27.2,Low,0,0,1,1,0
2025-09-26 09:00:00,461.0,43.0,1.0,0,27.2,Low,0,0,1,1,0
2025-09-26 09:10:00,467.0,43.0,1.0,0,27.2,Low,0,0,1,1,0
2025-09-26 09:20:00,470.0,43.0,1.0,0,27.2,Low,0,0,1,1,0
2025-09-26 09:30:00,478.0,43.0,1.0,0,27.3,Low,0,0,1,1,0
2025-09-26 09:40:00,488.0,42.5,1.0,0,27.3,Low,0,0,1,1,0
2025-09-26 09:50:00,489.0,42.5,1.0,0,27.3,Low,0,0,1,1,0
2025-09-26 10:00:00,490.0,42.5,1.0,0,27.3,Low,0,0,1,1,0
2025-09-26 10:10:00,490.0,42.0,1.0,0,27.3,Low,0,0,1,1,0
2025-09-26 10:20:00,490.0,42.5,1.0,0,27.3,Low,0,0,1,1,0
2025-09-26 10:30:00,491.0,42.5,0.0,0,27.3,Low,0,0,1,1,0
2025-09-26 10:40:00,492.0,42.5,0.0,0,27.3,Low,0,0,1,1,0
2025-09-26 10:50:00,493.0,42.5,0.0,0,27.3,Low,0,0,1,1,0
2025-09-26 11:00:00,493.0,42.5,0.0,0,27.3,Low,0,0,1,1,0
2025-09-26 11:10:00,494.0,42.5,0.0,0,27.3,Low,0,0,1,1,0
2025-09-26 11:20:00,494.0,42.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-26 11:30:00,495.0,42.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-26 11:40:00,495.0,42.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-26 11:50:00,495.0,42.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-26 12:00:00,492.0,42.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-26 12:10:00,492.0,42.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-26 12:20:00,495.0,42.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-26 12:30:00,501.0,43.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-26 12:40:00,511.0,43.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-26 12:50:00,528.0,43.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-26 13:00:00,541.0,43.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-26 13:10:00,549.0,43.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-26 13:20:00,549.0,43.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-26 13:30:00,549.0,43.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-26 13:50:00,545.0,43.0,0.0,0,27.2,Medium,0,0,1,1,0
