ts,co2,temperature,humidity,light_level,pir,people_count_all,people_count_max,region_count,open_windows_all
2026-05-10 16:30:00,433.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 16:40:00,432.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 16:50:00,433.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 17:00:00,432.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 17:10:00,433.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 17:20:00,433.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 17:30:00,433.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 17:40:00,432.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 17:50:00,433.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 18:00:00,432.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 18:10:00,432.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 18:20:00,433.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 18:30:00,433.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 18:40:00,433.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 18:50:00,433.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 19:00:00,433.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 19:10:00,433.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 19:20:00,433.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 19:30:00,431.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 19:40:00,432.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 19:50:00,432.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 20:00:00,432.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 20:10:00,433.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 20:20:00,434.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 20:30:00,434.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 20:40:00,434.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 20:50:00,435.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 21:00:00,436.0,22.6,52.5,0.0,0,0,0,0,1
2026-05-10 21:10:00,437.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 21:20:00,438.0,22.6,52.5,0.0,0,0,0,0,1
2026-05-10 21:30:00,439.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 21:40:00,438.0,22.6,52.5,0.0,0,0,0,0,1
2026-05-10 21:50:00,438.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 22:00:00,440.0,22.5,52.0,0.0,0,0,0,0,1
2026-05-10 22:10:00,440.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 22:20:00,440.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 22:30:00,441.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 22:40:00,441.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 22:50:00,441.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 23:00:00,441.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-10 23:10:00,441.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 23:20:00,441.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 23:30:00,441.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 23:40:00,441.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-10 23:50:00,441.0,22.6,51.5,0.0,0,0,0,0,1
2026-05-11 00:00:00,442.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-11 00:10:00,442.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-11 00:20:00,442.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-11 00:30:00,441.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-11 00:40:00,441.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-11 00:50:00,441.0,22.6,52.5,0.0,0,0,0,0,1
2026-05-11 01:00:00,441.0,22.6,52.0,0.0,0,0,0,0,1
2026-05-11 01:10:00,441.0,22.6,52.5,0.0,0,0,0,0,1
2026-05-11 01:20:00,440.0,22.6,52.5,0.0,0,0,0,0,1
2026-05-11 01:30:00,439.0,22.6,52.5,0.0,0,0,0,0,1
2026-05-11 01:40:00,438.0,22.6,52.5,0.0,0,0,0,0,1
2026-05-11 01:50:00,438.0,22.6,52.5,0.0,0,0,0,0,1
2026-05-11 02:00:00,437.0,22.6,53.0,0.0,0,0,0,0,1
2026-05-11 02:10:00,438.0,22.6,53.0,0.0,0,0,0,0,1
2026-05-11 02:20:00,437.0,22.6,53.5,0.0,0,0,0,0,1
2026-05-11 02:30:00,437.0,22.6,53.5,0.0,0,0,0,0,1
2026-05-11 02:40:00,438.0,22.6,53.5,0.0,0,0,0,0,1
2026-05-11 02:50:00,438.0,22.6,54.0,0.0,0,0,0,0,1
2026-05-11 03:00:00,438.0,22.6,54.0,0.0,0,0,0,0,1
2026-05-11 03:10:00,437.0,22.6,54.0,0.0,0,0,0,0,1
2026-05-11 03:20:00,437.0,22.6,54.0,0.0,0,0,0,0,1
2026-05-11 03:30:00,437.0,22.6,54.5,0.0,0,0,0,0,1
2026-05-11 03:40:00,437.0,22.6,54.5,0.0,0,0,0,0,1
2026-05-11 03:50:00,437.0,22.5,54.5,0.0,0,0,0,0,1
2026-05-11 04:00:00,437.0,22.6,55.0,0.0,0,0,0,0,1
2026-05-11 04:10:00,438.0,22.6,55.0,0.0,0,0,0,0,1
2026-05-11 04:20:00,441.0,22.6,55.5,1.0,0,0,0,0,1
2026-05-11 04:30:00,442.0,22.5,55.0,1.0,0,0,0,0,1
2026-05-11 04:40:00,447.0,22.6,54.5,1.0,0,0,0,0,1
2026-05-11 04:50:00,451.0,22.6,54.0,1.0,0,0,0,0,1
2026-05-11 05:00:00,454.0,22.6,53.5,1.0,0,0,0,0,1
2026-05-11 05:10:00,459.0,22.6,53.0,1.0,0,0,0,0,1
2026-05-11 05:20:00,463.0,22.6,53.0,1.0,0,0,0,0,1
2026-05-11 05:30:00,464.0,22.6,53.5,1.0,0,0,0,0,1
2026-05-11 05:40:00,464.0,22.6,54.5,2.0,0,0,1,0,1
2026-05-11 05:50:00,464.0,22.6,55.0,1.0,1,1,1,0,1
2026-05-11 06:00:00,468.0,22.7,55.5,2.0,0,1,1,0,1
2026-05-11 06:10:00,476.0,22.7,56.0,1.0,0,1,1,0,3
2026-05-11 06:20:00,491.0,22.7,57.0,2.0,1,1,1,0,3
2026-05-11 06:30:00,527.0,22.8,58.0,2.0,0,1,1,0,3
2026-05-11 06:40:00,584.0,22.9,57.5,2.0,0,12,12,0,3
2026-05-11 06:50:00,653.0,23.0,57.5,2.0,0,12,12,0,3
2026-05-11 07:00:00,703.0,23.1,57.5,2.0,0,12,12,0,3
2026-05-11 07:10:00,713.0,22.6,56.5,2.0,0,12,12,0,3
2026-05-11 07:20:00,749.0,22.3,57.5,1.0,0,12,12,0,2
2026-05-11 07:30:00,768.0,22.0,54.5,1.0,0,12,12,0,2
2026-05-11 07:40:00,828.0,21.9,54.5,1.0,1,4,14,0,2
2026-05-11 07:50:00,821.0,21.3,52.5,1.0,0,4,14,0,2
2026-05-11 08:00:00,795.0,21.2,53.5,1.0,1,4,14,0,1
2026-05-11 08:10:00,812.0,21.6,55.0,1.0,0,4,14,0,1
2026-05-11 08:20:00,934.0,21.5,52.5,1.0,0,4,14,0,1
2026-05-11 08:30:00,1048.0,21.6,52.5,1.0,0,4,14,0,1
2026-05-11 08:40:00,1112.0,21.5,51.5,1.0,1,13,13,0,1
